Commune,Département (numéro),Département (nom),Région
Aast,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Abainville,55,Meuse,Grand Est
Abancourt,59,Nord,Hauts-de-France
Abancourt,60,Oise,Hauts-de-France
Abaucourt,54,Meurthe-et-Moselle,Grand Est
Accolay,89,Yonne,Bourgogne-Franche-Comté
Accons,07,Ardèche,Auvergne-Rhône-Alpes
Accous,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Achain,57,Moselle,Grand Est
Les Achards,85,Vendée,Pays de la Loire
Achen,57,Moselle,Grand Est
Achenheim,67,Bas-Rhin,Grand Est
Achères,18,Cher,Centre-Val de Loire
Achères,78,Yvelines,Île-de-France
Achères-la-Forêt,77,Seine-et-Marne,Île-de-France
Achery,02,Aisne,Hauts-de-France
Acheux-en-Amiénois,80,Somme,Hauts-de-France
Acheux-en-Vimeu,80,Somme,Hauts-de-France
Acheville,62,Pas-de-Calais,Hauts-de-France
Achey,70,Haute-Saône,Bourgogne-Franche-Comté
Achicourt,62,Pas-de-Calais,Hauts-de-France
Agde,34,Hérault,Occitanie
Agel,34,Hérault,Occitanie
Agen,47,Lot-et-Garonne,Nouvelle-Aquitaine
Agen-d'Aveyron,12,Aveyron,Occitanie
Agencourt,21,Côte-d'Or,Bourgogne-Franche-Comté
Agenville,80,Somme,Hauts-de-France
Agenvillers,80,Somme,Hauts-de-France
Les Ageux,60,Oise,Hauts-de-France
Ageville,52,Haute-Marne,Grand Est
Agey,21,Côte-d'Or,Bourgogne-Franche-Comté
Aghione,2B,Haute-Corse,Corse
Agincourt,54,Meurthe-et-Moselle,Grand Est
Agmé,47,Lot-et-Garonne,Nouvelle-Aquitaine
Agnac,47,Lot-et-Garonne,Nouvelle-Aquitaine
Agnat,43,Haute-Loire,Auvergne-Rhône-Alpes
Agneaux,50,Manche,Normandie
Agnetz,60,Oise,Hauts-de-France
Agnez-lès-Duisans,62,Pas-de-Calais,Hauts-de-France
Agnicourt-et-Séchelles,02,Aisne,Hauts-de-France
Agnières,62,Pas-de-Calais,Hauts-de-France
Agnin,38,Isère,Auvergne-Rhône-Alpes
Agnos,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Agny,62,Pas-de-Calais,Hauts-de-France
Agon-Coutainville,50,Manche,Normandie
Agonac,24,Dordogne,Nouvelle-Aquitaine
Agonès,34,Hérault,Occitanie
Agonges,03,Allier,Auvergne-Rhône-Alpes
Agos-Vidalos,65,Hautes-Pyrénées,Occitanie
Agris,16,Charente,Nouvelle-Aquitaine
Agudelle,17,Charente-Maritime,Nouvelle-Aquitaine
Aguessac,12,Aveyron,Occitanie
Aguilcourt,02,Aisne,Hauts-de-France
Aguts,81,Tarn,Occitanie
Agy,14,Calvados,Normandie
Ahaxe-Alciette-Bascassan,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Ahetze,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Ahéville,88,Vosges,Grand Est
Ailly-sur-Noye,80,Somme,Hauts-de-France
Ailly-sur-Somme,80,Somme,Hauts-de-France
Aimargues,30,Gard,Occitanie
Aime-la-Plagne,73,Savoie,Auvergne-Rhône-Alpes
Ainay-le-Château,03,Allier,Auvergne-Rhône-Alpes
Ainay-le-Vieil,18,Cher,Centre-Val de Loire
Aincille,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Aincourt,95,Val-d'Oise,Île-de-France
Aincreville,55,Meuse,Grand Est
Aingeray,54,Meurthe-et-Moselle,Grand Est
Aingeville,88,Vosges,Grand Est
Aingoulaincourt,52,Haute-Marne,Grand Est
Ainharp,64,Pyrénées-Atlantiques,Nouvelle-Aquitaine
Aizecourt-le-Bas,80,Somme,Hauts-de-France
Aizecourt-le-Haut,80,Somme,Hauts-de-France
Aizelles,02,Aisne,Hauts-de-France
Aizenay,85,Vendée,Pays de la Loire
Aizier,27,Eure,Normandie
Aizy-Jouy,02,Aisne,Hauts-de-France
Ajac,11,Aude,Occitanie
Ajaccio,2A,Corse-du-Sud,Corse
Ajain,23,Creuse,Nouvelle-Aquitaine
Ajat,24,Dordogne,Nouvelle-Aquitaine
Ajoncourt,57,Moselle,Grand Est
L'Ajoupa-Bouillon,972,Martinique,Martinique
Ajoux,07,Ardèche,Auvergne-Rhône-Alpes
Alaigne,11,Aude,Occitanie
Alaincourt,02,Aisne,Hauts-de-France
